16t,
3 Ninjas Kick Back,
688 Attack Sub,
A Dinosaur's Tale,
Aaahh!!! Real Monsters,
Aah! Harimanada,
Abrams Battle Tank,
Action 52,
Addams Family,
Addams Family Values,
Adventures of Yogi Bear,
Aero Blasters,
Aero the Acro-Bat,
Aero the Acro-Bat 2,
Aerobiz,
Aerobiz Supersonic,
After Burner II,
Air Buster,
Air Diver,
Akira (prototype),
Alex Kidd in the Enchanted Castle (1989),
Alien 3 (Sega, SGG)
Alien Soldier,
Alien Storm (1991),
Alisia Dragoon,
Altered Beast (1988),
American Gladiators,
Andre Agassi Tennis,
Animaniacs,
Another World,
Arcade Classics,
Arch Rivals,
Arcus Odyssey,
Arnold Palmer Tournament Golf,
Arrow Flash,
Art Alive!,
Art of Fighting (1992),
Asterix and the Great Rescue,
Asterix and the Power of the Gods,
Atomic Robo-Kid,
Atomic Runner,
ATP Tour Championship Tennis,
Australian Rugby League,
Awesome Possum... Kicks Dr. Machino's Butt,
Ayrton Senna's Super Monaco GP II,
B.O.B.,
Back to the Future Part III,
Bahamut Senki,
Ball Jacks,
Ballz,
Barbarian  (2021),
Barbie: Super Model,
Barkley Shut Up and Jam!,
Barkley Shut Up and Jam! 2,
Barney's Hide & Seek Game,
Bass Masters Classic: Pro Edition,
Batman (1990),
Batman Forever,
Batman Returns (SEGA),
Batman: Return of the Joker,
Batman: The Video Game,
Battle Frenzy,
Battle Golfer Yui,
Battle Mania: Daiginjou,
Battle Squadron,
Battlemaster,
BattleTech: A Game of Armored Combat,
Battletoads,
Battletoads & Double Dragon,
Beast Wrestler,
Beggar Prince,
Best of the Best: Championship Karate,
Beyond Oasis,
Bible Adventures,
Bill Walsh College Football,
Bill Walsh College Football '95,
Bimini Run,
Bio-Hazard Battle (1992),
Bio-ship Paladin,
Bishoujo Senshi Sailor Moon (1993),
Blades of Vengeance,
Blaster Master 2,
Blockout (1991),
Blue Almanac,
Body Count,
Bonanza Bros. (1990),
Boogerman: A Pick and Flick Adventure,
Boxing Legends of the Ring,
BRAM STOKER'S DRACULA,
Brave Battle Saga - The Legend of The Magic Warrior,
Brett Hull Hockey '95,
Brian Lara Cricket '96,
Brutal: Paws of Fury,
Bubba 'n' Stix,
Bubble and Squeak,
Bubsy,
Bubsy 2,
Buck Rogers: Countdown to Doomsday,
Budokan: The Martial Spirit (1991),
Bugs Bunny in Double Trouble,
Bulls vs Lakers and the NBA Playoffs,
Bulls vs. Blazers and the NBA Playoffs,
Burning Force,
Cadash,
Cal Ripken Jr. Baseball,
Caliber .50,
California Games,
Cannon Fodder,
Canon: Legends of the New Gods,
Captain America and The Avengers,
Captain Planet & The Planeteers,
Castle of Illusion Starring Mickey Mouse (1990),
Castlevania: Bloodlines,
Cave Story: Doukutsu Monogatari,
Centurion: Defender of Rome,
Chōkyūkai Miracle Nine,
Chakan: The Forever Man,
Champions World Class Soccer,
Championship Bowling,
Championship Pool,
Chase H.Q.,
Chase H.Q. 2,
Cheese Cat-Astrophe Starring Speedy Gonzales,
Chelnov,
Chester Cheetah: Too Cool to Fool,
Chester Cheetah: Wild Wild Quest,
Chi Chi's Pro Challenge Golf,
Chuck Rock,
Chuck Rock II: Son of Chuck,
City Connection (1985),
ClayFighter,
Cliffhanger,
Clue,
Coach K College Basketball,
College Football USA 96,
College Football's National Championship,
College Football's National Championship II,
College Slam,
Columns (1990),
Columns III (1993),
Combat Cars,
Comix Zone,
Conquering the World III,
Contra: Hard Corps,
Cool Spot,
Corporation,
Crüe Ball,
Crack Down,
Crude Buster,
Crusader of Centy,
Crystal's Pony Tale,
Curse (1989),
Cutie Suzuki no Ringside Angel,
Cutthroat Island,
Cyberball (1988),
Cyborg Justice,
Daffy Duck in Hollywood,
Dahna: Megami Tanjō,
Daisenryaku,
Dangerous Seed,
Darius II,
Dark Castle,
Dashin' Desperadoes,
David Crane's Amazing Tennis,
David Robinson's Supreme Court,
Daze Before Christmas,
Death Duel,
Decap Attack,
Demolition Man,
Desert Demolition,
Desert Strike,
Devilish,
Devil's Crush (1990),
Dick Tracy (Sega),
"Dick Vitale's ""Awesome Baby"" College Hoops",
Dino Land,
Disney's Aladdin,
Disney's Ariel: The Little Mermaid,
Disney's Bonkers,
Disney's Pocahontas,
Disney's TaleSpin,
Disney's The Jungle Book,
Disney's The Lion King,
Divine Sealing,
DJ Boy,
Donald in Maui Mallard,
Doom Trooper,
Doom Troopers: Mutant Chronicles,
Double Clutch,
Double Dragon,
Double Dragon II: The Revenge,
Double Dragon III: The Sacred Stones (1991),
Double Dragon V: The Shadow Falls,
Double Dribble: The Playoff Edition,
Dr. Robotnik's Mean Bean Machine (1993),
Dragon Ball Z: Buyuu Retsuden,
Dragon Slayer: The Legend of Heroes,
Dragon Slayer: The Legend of Heroes II,
Dragon: The Bruce Lee Story,
Dragon's Revenge,
Duke Nukem 3D,
Dune II: Battle For Arrakis,
Dungeons & Dragons: Warriors of the Eternal Sun,
Dyna Brothers,
Dyna Brothers 2,
Dynamite Duke,
Dynamite Headdy (1994),
Earnest Evans,
Earth Defense,
Earthworm Jim,
Earthworm Jim 2,
Ecco Jr. (1995),
Ecco the Dolphin,
Ecco the Dolphin (1992),
Ecco: The Tides of Time,
Ecco: The Tides of Time (1994),
El Viento,
Elemental Master,
Eliminate Down,
ESPN Baseball Tonight,
ESPN National Hockey Night,
ESPN Speed World,
ESPN Sunday Night NFL,
ESWAT: City Under Siege,
Eternal Champions (1993),
European Club Soccer,
Evander Holyfield's Real Deal Boxing,
Exile,
Exodus (1991),
Exosquad,
F1,
F1 Circus,
F1 Grand Prix: Nakajima Satoru,
F-1 Hero MD,
F-117 Night Storm,
F-15 Strike Eagle II,
F-22 Interceptor,
Férias Frustradas do Pica-Pau,
Faery Tale Adventure,
Fantasia,
Fantastic Dizzy,
Fastest 1,
FATAL FURY,
Fatal Fury 2 (1992),
Fatal Fury: King of Fighters,
Fatal Labyrinth (1990),
Fever Pitch Soccer,
Fido Dido,
FIFA (1993),
FIFA 97,
FIFA '98: Road to World Cup,
FIFA Soccer '95,
FIFA Soccer 96,
FIFA: Road to World Cup 98,
Fighting Masters,
Final Blow,
Final Zone,
Fire Shark,
Fix-It Felix jr.,
Flashback: The Quest for Identity,
Flicky (1991),
Flink,
Foreman For Real,
Forgotten Worlds (1988),
Frank Thomas Big Hurt Baseball,
Frogger (1981),
Fun 'n Games (1994),
FX-Unit Yuki: The Henshin Engine,
Gaiares,
Gain Ground (1991),
Galaxy Force II,
Garfield: Caught in the Act,
Gargoyles,
Gauntlet IV,
Gemfire,
General Chaos,
Generations Lost,
Genghis Khan II: Clan of the Gray Wolf (1992),
George Foreman's KO Boxing,
Ghostbusters (1990),
Ghouls 'n Ghosts,
Gley Lancer (1992),
G-LOC: Air Battle,
Gods,
Golden Axe (1989),
Golden Axe II (1991),
Golden Axe III (1993),
Golden Axe Warrior,
Goofy's Hysterical History Tour,
Graham Gooch World Class Cricket,
Granada,
Greatest Heavyweights,
Greendog: The Beached Surfer Dude!,
Grind Stormer,
Growl,
Gunship (1986),
Gunship (1993),
Gunship 2000,
Gunstar Heroes,
Gynoug,
Hard Drivin' (1990),
HardBall III,
HardBall!,
Haunting,
Heavy Nova,
Heavy Unit,
Hellfire,
Herzog Zwei,
High Seas Havoc,
Hit the Ice,
Home Alone,
Home Alone 2,
Hook (1992),
Hurricanes,
IMG International Tour Tennis,
Indiana Jones and the Last Crusade: The Action Game,
Insector X,
Instruments of Chaos starring Young Indiana Jones,
International Rugby Challenge,
International Superstar Soccer,
International Superstar Soccer Deluxe,
Ishido: The Way of Stones,
It Came from the Desert SEGA,
Izzy's Quest for the Olympic Rings,
James Bond 007: The Duel,
James Pond,
James Pond 2: Codename Robocod,
James Pond 3,
Jammit,
Jang Pung 3,
Jennifer Capriati Tennis,
Jewel Master,
Jim Power : The Lost Dimension,
Jimmy White's 'Whirlwind' Snooker,
Joe & Mac,
Joe Montana Football,
Joe Montana II: Sports Talk Football,
John Madden Football,
John Madden Football '92,
John Madden Football '93,
Jordan vs Bird: One on One,
Joshua & the Battle of Jericho,
Judge Dredd,
Junction,
Jungle Strike,
Jurassic Park,
Jurassic Park: Rampage Edition,
Justice League Task Force,
Kawasaki Superbike Challenge,
Kick Off,
Kid Chameleon (1992),
KING OF THE MONSTERS,
King of the Monsters 2: The Next Thing,
King Salmon,
King's Bounty,
Klax,
Krusty's Fun House,
Kunio no Nekketsu School Fighters,
Kyūkai Dōchūki,
Lakers versus Celtics and the NBA Playoffs,
Landstalker: The Treasures of King Nole,
Langrisser II,
Last Action Hero,
Last Battle,
Leander,
Legend of Wukong,
Lemmings,
Lemmings 2: The Tribes,
Lethal Enforcers,
Lethal Enforcers II: Gun Fighters,
LHX Attack Chopper,
Liberty or Death,
Light Crusader (1995),
Linus Spacehead's Cosmic Crusade,
List of Nintendo Entertainment System games,
Lord Monarch,
Lotus,
Lotus: The Ultimate Challenge,
Madden NFL,
Madden NFL '94,
Madden NFL '95,
Madden NFL '96,
Madden NFL 97,
Madden NFL 98,
Madou Monogatari I,
Mamono Hunter Yohko,
Marble Madness,
Mario Andretti Racing,
Marko's Magic Football,
Marsupilami,
Marvel Land,
Mary Shelley's Frankenstein,
Master of Monsters (1988),
Master of Weapon,
Maten no Soumetsu,
Math Blaster Episode I: In Search of Spot,
Maui Mallard in Cold Shadow,
Mazin Saga: Mutant Fighter,
McDonald's Treasure Land Adventure,
Mega Lo Mania,
Mega Man: The Wily Wars,
Mega Turrican (1994),
Mega Twins,
Megapanel,
Mercs,
Michael Jackson's Moonwalker,
Mick & Mack as the Global Gladiators,
Mickey's Ultimate Challenge,
Mickey's Wild Adventure,
Micro Machines (Old),
Micro Machines 2: Turbo Tournament,
Micro Machines 96,
Midnight Resistance,
Might and Magic II: Gates to Another World,
Mighty Morphin Power Rangers,
Mighty Morphin Power Rangers: The Movie,
Minnesota Fats: Pool Legend,
Miracle Piano Teaching System,
MLBPA Baseball,
Monopoly (1995),
Monster World IV (1994),
Mortal Kombat,
Mortal Kombat 2,
Mortal Kombat 3,
Mr. Nutz,
Ms. Pac-Man,
MTV's Beavis and Butt-Head,
Muhammad Ali Heavyweight Boxing,
MUSHA (1990),
Mutant League Football,
Mutant League Hockey,
Mystic Defender,
Mystical Fighter,
Nadia: of the Mysterious Seas,
Nakajima Satoru Kanshū F1 Super License,
NBA Action '95 starring David Robinson,
NBA All-Star Challenge,
NBA Hangtime,
NBA Jam (1994),
NBA Live,
NBA Live 95,
NBA Live 96,
NBA Live 97,
NBA Live 98,
NBA Showdown,
NCAA Football,
Newman/Haas IndyCar featuring Nigel Mansell,
NFL '95,
NFL Football '94 Starring Joe Montana,
NFL Prime Time '98,
NFL Quarterback Club,
NFL Quarterback Club 96,
NFL Sports Talk Football '93 Starring Joe Montana,
NHL '94,
NHL 95,
NHL 96,
NHL 97,
NHL 98,
NHL All-Star Hockey '95,
NHL Hockey (1991),
NHLPA Hockey '93,
Nigel Mansell's World Championship Racing,
Nightmare Circus,
Nintendo World Cup,
Nobunaga's Ambition (2009),
Olympic Gold,
Olympic Summer Games,
Onslaught (1989),
Operation Europe: Path to Victory,
Osomatsu-kun Hachamecha Gekijou,
Out Run,
Outlander,
OutRun,
OutRun 2019,
OutRunners,
P.T.O.,
Pac-Attack (1993),
Pac-Man 2: The New Adventures (1994),
Pac-Mania,
Panorama Cotton,
Paperboy,
Paperboy 2,
Party Quiz Mega Q,
Pat Riley Basketball,
Pelé II: World Tournament Soccer,
Pengo,
Pete Sampras Tennis (1994),
PGA Tour Golf,
PGA Tour Golf III,
Phantasy Star,
Phantasy Star II,
Phantasy Star III: Generations of Doom,
Phantasy Star IV: The End of the Millennium,
Phantom 2040,
Phelios,
Picachu - Pocket Monsters (Bootleg),
Pier Solar and the Great Architects (2010),
Pigskin 621 A.D.,
Pink Goes to Hollywood,
Pinocchio (1996),
Pirates of Dark Water,
Pirates! Gold,
Pitfall: The Mayan Adventure,
Pit-Fighter,
Populous,
Populous 2: Trials of the Olympian Gods,
Populous II: Trials of the Olympian Gods,
Power Athlete,
Power Drive,
Powerball (1991),
Powermonger (1990),
Predator 2 (1992),
Premier Manager (Old),
Primal Rage,
Prime Time NFL Starring Deion Sanders,
Prince of Persia (1989),
Pringles,
Pro Moves Soccer,
Pro Quarterback,
Psycho Pinball,
Puggsy,
Pulseman (1994),
Puyo Puyo,
Puyo Puyo Tsu,
Puzzle & Action: Ichidant-R,
Puzzle & Action: Tant-R,
QuackShot,
Quad Challenge,
R.B.I. Baseball,
R.C. Pro-Am,
Race Drivin',
Radical Rex,
Raiden (1991),
Rainbow Islands: The Story of Bubble Bobble 2,
Rambo III,
Rampart (1990),
Ranger X,
Rastan Saga II,
Red Zone,
Ren & Stimpy: Stimpy's Invention,
Rent a Hero,
Revolution X (1994),
Richard Scarry's Busytown,
Rings of Power,
Rise of the Robots,
RISK (1994),
Risky Woods,
Ristar,
Road Rash (1991),
Road Rash 3,
Road Rash II,
RoadBlasters,
Robocop 3,
RoboCop Versus The Terminator,
Rock n' Roll Racing,
Rocket Knight Adventures,
Roger Clemens' MVP Baseball,
Rolling Thunder 2 (1991),
Rolling Thunder 3,
Rolo to the Rescue,
Romance of the Three Kingdoms II,
Romance of the Three Kingdoms III: Dragon of Destiny,
Saint Sword,
Sampras Tennis 96,
Samurai Shodown,
Sangokushi V,
Saturday Night Slam Masters,
Scooby-Doo Mystery,
seaQuest DSV,
Sensible Soccer,
Shadow Blasters,
Shadow Dancer: The Secret of Shinobi,
Shadow of the Beast (1989),
Shadow of the Beast II,
Shadowrun (1994),
Shanghai II: Dragon's Eye,
Shaq Fu,
Shining Force II: The Ancient Seal,
Shining Force: The Legacy of Great Intention,
Shining in the Darkness (1991),
Shinobi III: Return of the Ninja Master (1993),
Shura no Mon,
Sid Meier's Pirates! (1987),
Side Pocket (1986),
Sink or Swim,
Skeleton Krew,
Skitchin',
Slap Fight,
Smash TV,
Snake Rattle 'n' Roll,
Snow Bros. Nick & Tom,
Socket,
Sol-Feace,
Sonic & Knuckles,
Sonic 3 and Knuckles,
Sonic 3D Blast (1996),
Sonic Spinball,
Sonic Spinball (1993),
Sonic the Hedgehog (1991),
Sonic the Hedgehog 2,
Sonic the Hedgehog 3 (1994),
Sorcerer's Kingdom,
Sorcerian,
Space Harrier II (1988),
Space Invaders (1978),
Sparkster: Rocket Knight Adventures 2,
Speedball 2: Brutal Deluxe,
Spider-Man (1995),
Spider-Man and the X-Men in Arcade's Revenge,
Spider-Man and Venom: Maximum Carnage,
Spirou,
Splatterhouse 2 (1992),
Splatterhouse 3,
Sports Talk Baseball,
Spot Goes To Hollywood,
Squirrel King,
SRD: Super Real Darwin,
Star Control,
Star Cruiser,
Star Trek: The Next Generation: Echoes from the Past,
Starflight,
Stargate,
Stargate (1995),
Steel Empire,
Steel Talons,
Stone Protectors,
Stormlord (1989),
Street Fighter II: Champion Edition,
Street Fighter II: The World Warrior (1991),
Street Racer,
Street Smart (1989),
Streets of Rage,
Streets of Rage 2,
Streets of Rage 3,
